apply	pared	public	gpa	apply_cat
very likely	0	0	3.26	3
somewhat likely	1	0	3.21	2
unlikely	1	1	3.9400001	1
somewhat likely	0	0	2.8099999	2
somewhat likely	0	0	2.53	2
unlikely	0	1	2.5899999	1
somewhat likely	0	0	2.5599999	2
somewhat likely	0	0	2.73	2
unlikely	0	0	3	1
somewhat likely	1	0	3.5	2
unlikely	1	1	3.6500001	1
somewhat likely	0	0	2.8399999	2
very likely	0	1	3.9000001	3
somewhat likely	0	0	2.6800001	2
unlikely	1	0	3.5699999	1
unlikely	0	0	3.0899999	1
unlikely	0	1	3.5	1
unlikely	0	0	2.1700001	1
very likely	0	1	3.3599999	3
somewhat likely	0	0	3.4000001	2
very likely	0	0	2.75	3
somewhat likely	1	0	3.2	2
unlikely	0	0	2.4400001	1
unlikely	0	0	2.8299999	1
unlikely	0	1	3	1
somewhat likely	0	1	3.27	2
somewhat likely	1	0	3.1400001	2
somewhat likely	0	0	3.3699999	2
very likely	0	1	2.79	3
unlikely	0	0	2.9000001	1
somewhat likely	0	0	3.3800001	2
unlikely	0	1	2.95	1
unlikely	0	0	2.98	1
unlikely	1	1	3.8099999	1
unlikely	0	0	2.74	1
unlikely	0	0	2.6199999	1
unlikely	0	0	2.8499999	1
somewhat likely	0	0	2.5	2
somewhat likely	0	0	2.75	2
unlikely	0	0	2.26	1
unlikely	0	0	2.03	1
somewhat likely	1	0	2.8499999	2
unlikely	0	0	2.72	1
somewhat likely	0	0	2.8900001	2
somewhat likely	1	0	2.47	2
unlikely	0	0	3.04	1
unlikely	0	0	3.0999999	1
unlikely	0	0	2.5699999	1
unlikely	0	0	2.0899999	1
somewhat likely	0	0	2.9400001	2
unlikely	0	0	3.45	1
unlikely	0	0	2.76	1
very likely	0	1	2.96	3
unlikely	0	0	2.8900001	1
somewhat likely	0	0	2.97	2
somewhat likely	0	1	3.9100001	2
somewhat likely	0	0	2.77	2
unlikely	0	0	2.51	1
unlikely	0	0	3.24	1
unlikely	0	0	2.4400001	1
